epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.596424,0.651920,0.635341,0.640940,1.999507e-04
2,0.452651,0.787145,0.944015,0.546980,1.998027e-04
3,0.351086,0.858097,1.158491,0.570470,1.995562e-04
4,0.340059,0.883139,2.041984,0.429530,1.992115e-04
5,0.288316,0.909015,1.462470,0.520134,1.987688e-04
6,0.180006,0.929883,2.335753,0.476510,1.982287e-04
7,0.162720,0.949917,0.956650,0.748322,1.975917e-04
8,0.144101,0.954925,2.398033,0.483221,1.968583e-04
9,0.101212,0.968280,3.941576,0.375839,1.960294e-04
10,0.085200,0.974958,1.630824,0.610738,1.951057e-04
11,0.067118,0.980801,2.661040,0.587248,1.940881e-04
12,0.064485,0.979967,2.638057,0.590604,1.929776e-04
13,0.050137,0.981636,3.275269,0.553691,1.917755e-04
14,0.043875,0.988314,3.228456,0.500000,1.904827e-04
15,0.049706,0.983306,3.672183,0.463087,1.891007e-04
16,0.067323,0.980801,5.180111,0.365772,1.876307e-04
17,0.011288,0.995826,4.510408,0.510067,1.860742e-04
18,0.030945,0.989149,3.467699,0.617450,1.844328e-04
19,0.035388,0.991653,2.516465,0.687919,1.827081e-04
20,0.041490,0.987479,3.849076,0.553691,1.809017e-04
21,0.047387,0.984140,5.595389,0.392617,1.790155e-04
22,0.042289,0.990818,2.907285,0.597315,1.770513e-04
23,0.031595,0.989149,3.251314,0.600671,1.750111e-04
24,0.039628,0.989983,3.334117,0.617450,1.728969e-04
25,0.015304,0.996661,7.244501,0.359060,1.707107e-04
26,0.023906,0.996661,4.460980,0.533557,1.684547e-04
27,0.014615,0.995826,8.260141,0.382550,1.661312e-04
