subject,n_windows,acc,mean_rA,mean_rB,ckpt
1,1198,0.535058,0.122766,-0.025095,outputs/S1_FULL/best.pt
2,1198,0.542571,0.068767,-0.025922,outputs/S2_FULL/best.pt
1,1198,0.536728,0.344743,-0.073441,outputs/S1/best_model.pt
2,1198,0.493322,0.333513,-0.049445,outputs/S2/best_model.pt
3,1198,0.515025,0.300290,-0.065037,outputs/S3/best_model.pt
4,1198,0.575125,0.433779,-0.065514,outputs/S4/best_model.pt
5,1198,0.454925,0.369533,-0.072517,outputs/S5/best_model.pt
6,1198,0.525876,0.397286,-0.076643,outputs/S6/best_model.pt
7,1198,0.606845,0.419153,-0.068266,outputs/S7/best_model.pt
8,1198,0.380634,0.338866,-0.048414,outputs/S8/best_model.pt
9,1198,0.442404,0.380482,-0.050546,outputs/S9/best_model.pt
10,1198,0.461603,0.405471,-0.078523,outputs/S10/best_model.pt
11,1198,0.504174,0.426224,-0.073751,outputs/S11/best_model.pt
12,1198,0.498331,0.454806,-0.067035,outputs/S12/best_model.pt
13,1198,0.427379,0.391942,-0.045720,outputs/S13/best_model.pt
15,1198,0.535058,0.347877,-0.070492,outputs/S15/best_model.pt
16,1198,0.484975,0.413970,-0.063847,outputs/S16/best_model.pt
17,1198,0.559265,0.347887,-0.068693,outputs/S17/best_model.pt
18,1198,0.395659,0.409606,-0.059463,outputs/S18/best_model.pt
